"Key","en (English)","it (Italian)","pl (Polish)","es (Spanish)","de (German)","pt (Portuguese)","fr (French)","ja (Japanese)","ru (Russian)","tr (Turkish)","ar (Arabic)","cs (Czech)","th (Thai)","id (Indonesian)","nl (Dutch)","vi (Vietnamese)","ko (Korean)","zh-Hans (ChineseSimplified)","zh-Hant (ChineseTraditional)","lt (Lithuanian)","uk (Ukrainian)","lv (Latvian)","hi (Hindi)","el (Greek)","pt-BR (Brazilian)"
"InviteFriends","Invite Friends","Invita Amici","Zaproś Przyjaciół","Invitar a amigos","Freunde einladen","Convidar amigos","Inviter des amis","友達を招待","Пригласить друзей","Arkadaşları Davet Et","دعوة الأصدقاء","Pozvat přátele","เชิญเพื่อน","Undang Teman","Vrienden uitnodigen","Mời bạn bè","친구 초대","邀请好友","邀請好友","Pakviesti draugus","Запросити друзів","Uzaicināt draugus","दोस्तों को आमंत्रित करें","Προσκαλέστε Φίλους","Convidar Amigos"
"Join","Join","Unisciti","Dołącz","Unirse","Beitreten","Entrar","Rejoindre","参加する","Присоединиться","Katıl","الانضمام","Připojit","เข้าร่วม","Bergabung","Meedoen","Tham gia","참여","加入","加入","Prisijungti","Приєднатися","Pievienoties","मेल जोड़ें","Συμμετοχή","Entrar"
"JoinRecommended","Join Random","Unisciti a Casuale","Dołącz do Losowego","Unirse al Azar","Zufällig Beitreten","Entrar Aleatório","Rejoindre aléatoire","ランダムに参加","Присоединиться к случайному","Rastgele Katıl","الانضمام لعشوائي","Připojit k náhodnému","เข้าร่วมสุ่ม","Gabung Acak","Willekeurig Meedoen","Tham gia ngẫu nhiên","무작위 참가","随机加入","隨機加入","Prisijungti prie atsitiktinio","Приєднатися до випадкового","Pievienoties nejaušam","अनियमित मेल जोड़ें","Τυχαία Συμμετοχή","Entrar Aleatório"
"LobbySearch","Lobby Search","Ricerca Lobby","Wyszukiwanie Lobby","Búsqueda de Lobby","Lobby Suche","Pesquisa de Lobby","Recherche de Lobby","ロビー検索","Лобби Поиск","Lobi Arama","بحث في الردهة","Vyhledávání Lobby","ค้นหาล็อบบี้","Pencarian Lobi","Lobby Zoeken","Tìm kiếm Phòng chờ","로비 검색","大厅搜索","大廳搜尋","Lobio Paieška","Лобі Пошук","Lobi Meklēšana","लॉबी खोज","Αναζήτηση Λόμπι","Pesquisa de Lobby"
"NotSearchable","Lock Lobby","Blocca Lobby","Zablokuj Lobby","Bloquear Lobby","Lobby sperren","Travar Lobby","Verrouiller le lobby","ロビーをロック","Заблокировать лобби","Lobiyi Kilit","قفل اللوبي","Zamknout lobby","ล็อกห้องรอ","Kunci Lobby","Lobby Vergrendelen","Khóa Lobby","로비 잠금","锁定大厅","鎖定大廳","Užrakinti svetainę","Заблокувати лобі","Aizslēgt vestibi","लॉबी को ताले लगाएं","Κλειδώστε το Λόμπι","Travar Lobby"
"Players","Players","Giocatori","Gracze","Jugadores","Spieler","Jogadores","Joueurs","プレイヤー","Игроки","Oyuncular","لاعبين","Hráči","ผู้เล่น","Pemain","Spelers","Người chơi","플레이어","玩家","玩家","Žaidėjai","Гравці","Spēlētāji","खिलाड़ी","Παίκτες","Jogadores"
"Refresh","Refresh","Aggiorna","Odśwież","Actualizar","Aktualisieren","Atualizar","Rafraîchir","更新する","Обновить","Yenile","تحديث","Obnovit","รีเฟรช","Segarkan","Vernieuwen","Làm mới","새로 고침","刷新","刷新","Atnaujinti","Оновити","Atsvaidzināt","ताजा करें","Ανανέωση","Atualizar"
"Searchable","Open Lobby","Lobby Aperto","Otwarte Lobby","Lobby Abierto","Offenes Lobby","Lobby Aberto","Lobby ouvert","オープンロビー","Открытое лобби","Açık Lobisi","لوبي مفتوح","Otevřené lobby","ห้องรอเปิด","Lobby Terbuka","Open Lobby","Lobby Mở","오픈 로비","开放大厅","開放大廳","Atvira svetainė","Відкрите лобі","Atvērts vestibi","लॉबी खुला है","Ανοιχτό Λόμπι","Lobby Aberto"
"Back","Back","Indietro","Wstecz","Atrás","Zurück","Voltar","Retour","戻る","Назад","Geri","العودة","Zpět","ย้อนกลับ","Kembali","Terug","Quay lại","뒤로","返回","返回","Atgal","Назад","Atpakaļ","वापस","Πίσω","Voltar"
"Close","Close","Chiuso","Zamknij","Cerrar","Schließen","Fechar","Fermer","閉じる","Закрыть","Kapat","إغلاق","Zavřít","ปิด","Tutup","Sluiten","Đóng","닫기","关闭","關閉","Uždaryti","Закрити","Aizvērt","बंद करें","Κλείσιμο","Fechar"
"FailedToConnect","Failed to connect to Online Services. Entering offline mode.","Impossibile connettersi ai servizi online. Passaggio alla modalità offline.","Nie udało się połączyć z usługami online. Przechodzenie w tryb offline.","Error al conectar con los servicios en línea. Entrando en modo desconectado.","Fehler bei der Verbindung zu den Online-Diensten. Wechsel in den Offline-Modus.","Falha ao conectar aos Serviços Online. Entrando no modo offline.","Échec de la connexion aux services en ligne. Passage en mode hors-ligne.","オンラインサービスに接続できませんでした。オフラインモードに移行します。","Не удалось подключиться к онлайн-сервисам. Переход в офлайн-режим.","Çevrimiçi Hizmetlere bağlanılamadı. Çevrimdışı moda geçiliyor.","فشل في الاتصال بالخدمات الإلكترونية. الدخول في وضع غير متصل.","Nepodařilo se připojit k online službám. Přecházíme do offline režimu.","เชื่อมต่อกับบริการออนไลน์ไม่สำเร็จ เข้าสู่โหมดออฟไลน์","Gagal terhubung ke Layanan Online. Memasuki mode offline.","Mislukt om te verbinden met online diensten. Schakelen naar offline modus.","Không thể kết nối đến Dịch vụ Trực tuyến. Chuyển sang chế độ ngoại tuyến.","온라인 서비스에 연결하지 못했습니다. 오프라인 모드로 전환합니다.","无法连接到在线服务。进入离线模式。","無法連接到線上服務。進入離線模式。","Nepavyko prisijungti prie internetinių paslaugų. Perjungimas į atsijungusį režimą.","Не вдалося підключитися до онлайн-сервісів. Перехід в автономний режим.","Neizdevās pievienoties tiešsaistes pakalpojumiem. Ieejot bezsaistes režīmā.","ऑनलाइन सेवाओं से जुड़ने में विफल। ऑफलाइन मोड में प्रवेश कर रहा है।","Αποτυχία σύνδεσης με τις ηλεκτρονικές υπηρεσίες. Εισαγωγή σε λειτουργία εκτός σύνδεσης.","Falha ao conectar aos Serviços Online. Entrando no modo offline."
"Next","Next","Avanti","Następny","Siguiente","Weiter","Próximo","Suivant","次へ","Далее","İleri","التالي","Další","ถัดไป","Selanjutnya","Volgende","Tiếp theo","다음","下一步","下一步","Toliau","Далі","Tālāk","अगला","Επόμενος","Próximo"
"Notification","Notification","Notifica","Powiadomienie","Notificación","Benachrichtigung","Notificação","Notification","通知","Уведомление","Bildirim","إشعار","Oznámení","การแจ้งเตือน","Notifikasi","Melding","Thông báo","알림","通知","通知","Pranešimas","Повідомлення","Paziņojums","सूचना","Ειδοποίηση","Notificação"
"YouveBeenDisconnected","You've Been Disconnected","Sei stato disconnesso","Zostałeś rozłączony","Has sido desconectado","Du wurdest getrennt","Você foi desconectado","Vous avez été déconnecté","切断されました","Вы были отключены","Bağlantınız Kesildi","تم قطع الاتصال بك","Byl jste odpojen","คุณถูกตัดการเชื่อมต่อ","Anda telah terputus","Je bent verbroken","Bạn đã bị ngắt kết nối","연결이 끊어졌습니다","已断开连接","已斷開連接","Jūs buvote atjungtas","Ви були відключені","Jūs esat atvienots","आपका संबंध विच्छेदित हो गया है","Έχετε αποσυνδεθεί","Você foi desconectado"
"Audio","Audio","Audio","Audio","Audio","Audio","Áudio","Audio","オーディオ","Аудио","Ses","الصوت","Zvuk","เสียง","Audio","Audio","Âm thanh","오디오","音频","音頻","Garsas","Аудіо","Skaņa","ऑडियो","Ήχος","Áudio"
"Beautiful","Beautiful","Bellissimo","Piękny","Hermoso","Schön","Bonito","Beau","美しい","Красивый","Güzel","جميل","Krásný","สวยงาม","Indah","Mooi","Đẹp","아름다운","漂亮","漂亮","Gražus","Гарний","Skaists","सुंदर","Όμορφος","Lindo"
"Extra","Extra","Extra","Extra","Extra","Extra","Extra","Extra","エクストラ","Экстра","Ekstra","إضافي","Extra","พิเศษ","Ekstra","Extra","Extra","엑스트라","额外","額外","Papildomas","Додатково","Papildus","अतिरिक्त","Επιπλέον","Extra"
"FpsLimit","FPS Limit","Limite FPS","Limit FPS","Límite de FPS","FPS-Begrenzung","Limite de FPS","Limite FPS","FPS制限","Ограничение FPS","FPS Sınırı","حد الإطارات","Limit FPS","จำกัด FPS","Batas FPS","FPS Limiet","Giới hạn FPS","FPS 제한","FPS限制","FPS限制","FPS riba","Обмеження FPS","FPS ierobežojums","FPS सीमा","Όριο FPS","Limite de FPS"
"Good","Good","Buono","Dobry","Bueno","Gut","Bom","Bon","良い","Хорошо","İyi","جيد","Dobrý","ดี","Baik","Goed","Tốt","좋은","好","好","Geras","Добре","Labs","अच्छा","Καλός","Bom"
"Graphics","Graphics","Grafica","Grafika","Gráficos","Grafik","Gráficos","Graphismes","グラフィックス","Графика","Grafikler","الرسومات","Grafika","กราฟิก","Grafis","Grafiek","Đồ họa","그래픽","图形","圖形","Grafika","Графіка","Grafika","ग्राफिक्स","Γραφικά","Gráficos"
"Language","Language","Lingua","Język","Idioma","Sprache","Língua","Langue","言語","Язык","Dil","اللغة","Jazyk","ภาษา","Bahasa","Taal","Ngôn ngữ","언어","语言","語言","Kalba","Мова","Valoda","भाषा","Γλώσσα","Idioma"
"MicrophoneVolume","Microphone Volume","Volume del microfono","Głośność mikrofonu","Volumen del micrófono","Mikrofonlautstärke","Volume do microfone","Volume du microphone","マイクのボリューム","Громкость микрофона","Mikrofon Ses Seviyesi","صوت الميكروفون","Hlasitost mikrofonu","ระดับเสียงไมโครโฟน","Volume Mikrofon","Microfoonvolume","Âm lượng micro","마이크 볼륨","麦克风音量","麥克風音量","Mikrofono garsumas","Гучність мікрофону","Mikrofona skaļums","माइक्रोफोन वॉल्यूम","Ένταση μικροφώνου","Volume do microfone"
"Music","Music","Musica","Muzyka","Música","Musik","Música","Musique","音楽","Музыка","Müzik","الموسيقى","Hudba","เพลง","Musik","Muziek","Âm nhạc","음악","音乐","音樂","Muzika","Музика","Mūzika","संगीत","Μουσική","Música"
"Potato","Potato","Patata","Ziemniak","Patata","Kartoffel","Batata","Pomme de terre","ジャガイモ","Картофель","Patates","البطاطا","Brambora","มันฝรั่ง","Kentang","Aardappel","Khoai tây","감자","土豆","馬鈴薯","Bulvė","Картопля","Kartupelis","आलू","Πατάτα","Batata"
"Quality","Quality","Qualità","Jakość","Calidad","Qualität","Qualidade","Qualité","品質","Качество","Kalite","الجودة","Kvalita","คุณภาพ","Kualitas","Kwaliteit","Chất lượng","품질","质量","品質","Kokybė","Якість","Kvalitāte","गुणवत्ता","Ποιότητα","Qualidade"
"Sounds","Sounds","Suoni","Dźwięki","Sonidos","Töne","Sons","Sons","音","Звуки","Sesler","الأصوات","Zvuky","เสียง","Suara","Geluiden","Âm thanh","소리","声音","聲音","Garsai","Звуки","Skaņas","ध्वनियां","Ήχοι","Sons"
"UpdatePlayerName","Update Player Name","Aggiorna Nome Giocatore","Zaktualizuj nazwę gracza","Actualizar nombre del jugador","Spielernamen aktualisieren","Atualizar Nome do Jogador","Mettre à jour le nom du joueur","プレイヤー名を更新","Обновить имя игрока","Oyuncu Adını Güncelle","تحديث اسم اللاعب","Aktualizovat jméno hráče","อัปเดตชื่อผู้เล่น","Perbarui Nama Pemain","Spelersnaam bijwerken","Cập nhật tên người chơi","플레이어 이름 업데이트","更新玩家名称","更新玩家名稱","Atnaujinti Žaidėjo Vardą","Оновити ім'я гравця","Atjaunināt spēlētāja vārdu","खिलाड़ी का नाम अपडेट करें","Ανανέωση ονόματος παίκτη","Atualizar Nome do Jogador"
"InnocentDescription","YOU ARE INNOCENT","SEI INNOCENTE","JESTEŚ NIEWINNY","ERES INOCENTE","DU BIST UNSCHULDIG","VOCÊ É INOCENTE","VOUS ÊTES INNOCENT","あなたは無実です","ТЫ НЕВИНОВЕН","MASUMSUN","أنت بريء","JSTE NEVINNÝ","คุณเป็นคนไม่รู้เรื่อง","KAMU TIDAK BERSALAH","JE BENT ONSCHULDIG","BẠN LÀ NGƯỜI VÔ TỘI","무죄입니다","你是无辜的","你是無辜的","JŪS ESNATE NEKALTAS","ТИ НЕВИННИЙ","TU ESI NEVAINĪGS","तुम मासूम हो","ΕΊΣΑΙ ΑΘΏΟΣ","VOCÊ É INOCENTE"
"PillarsOfRebirth","Pillars of Rebirth","Pilastri della Rinascita","Filary Odrodzenia","Pilares del Renacimiento","Säulen der Wiedergeburt","Pilares do Renascimento","Piliers de la Renaissance","再生の柱","Столпы Возрождения","Yeniden Doğuşun Direkleri","أعمدة الإعادة","Pilíře znovuzrození","เสาแห่งการเกิดใหม่","Tiang-tiang Kebangkitan","Pilaren van de Wedergeboorte","Trụ Sống Lại","재생의 기둥","复生之柱","復生之柱","Atgimimo Stulpai","Стовпи Відродження","Dzimšanas Stabi","जन्म के स्तंभ","Στύλοι της Αναγέννησης","Pilares da Ressurreição"
